run_name,task,method,seed,ablation_group,ablation_name,star_algorithm_version,shadow_beta_mode,shadow_penalty_mode,shadow_num_strata,shadow_samples_per_stratum,shadow_temperature,star_risk_threshold,star_lambda,cost_gamma,final_step,completed,final_checkpoint,latest_reward,latest_cost,avg_last10_reward,avg_last10_cost,train_total_cost,train_total_cost_rate,wall_clock_time,shadow_excess_mean,actor_gradient_norm,effective_beta,reference_update_count,mechanism_rows
starv2_calibration_star100k_SafetyCarGoal1_v0_starA_thr045_lam05_star_v2_s0,SafetyCarGoal1-v0,star_v2,0,calibration_star100k,starA_thr045_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.45,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starA_thr045_lam05_star_v2_s0/checkpoint/final.torch,32.144429548702064,172.0,32.232479912980104,65.1,5979.0,0.05979,5315.680104388855,0.04331696182489395,0.011060356907546521,0.5312884688377381,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starA_thr045_lam05_star_v2_s1,SafetyCarGoal1-v0,star_v2,1,calibration_star100k,starA_thr045_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.45,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starA_thr045_lam05_star_v2_s1/checkpoint/final.torch,36.10114499929431,24.0,33.67004667329091,39.3,5594.0,0.05594,5374.669613382313,0.04790652133524418,0.01191859394311905,0.5314052760601043,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starB_thr050_lam05_star_v2_s0,SafetyCarGoal1-v0,star_v2,0,calibration_star100k,starB_thr050_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starB_thr050_lam05_star_v2_s0/checkpoint/final.torch,30.727996366554738,106.0,34.14310464130924,92.1,7105.0,0.07105,5294.723720106762,0.05072316974401474,0.011647833604365587,0.5312112808227539,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starB_thr050_lam05_star_v2_s1,SafetyCarGoal1-v0,star_v2,1,calibration_star100k,starB_thr050_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starB_thr050_lam05_star_v2_s1/checkpoint/final.torch,38.325747538357014,57.0,32.695068241130116,53.1,6204.0,0.06204,5539.197589156218,0.04411954469978809,0.01188626904040575,0.5312577664852143,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starC_thr050_lam10_star_v2_s0,SafetyCarGoal1-v0,star_v2,0,calibration_star100k,starC_thr050_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.5,1.0,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starC_thr050_lam10_star_v2_s0/checkpoint/final.torch,36.5821215015544,19.0,34.10973790904251,52.1,5644.0,0.05644,5281.893013824709,0.03741609752178192,0.01212953869253397,0.5312024056911469,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starC_thr050_lam10_star_v2_s1,SafetyCarGoal1-v0,star_v2,1,calibration_star100k,starC_thr050_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.5,1.0,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starC_thr050_lam10_star_v2_s1/checkpoint/final.torch,34.34442629962577,59.0,34.57707364253145,39.3,5360.0,0.0536,5336.158035862725,0.03807029128074646,0.01262665018439293,0.5311666071414948,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starD_thr055_lam10_star_v2_s0,SafetyCarGoal1-v0,star_v2,0,calibration_star100k,starD_thr055_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.55,1.0,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starD_thr055_lam10_star_v2_s0/checkpoint/final.torch,33.179734416190186,126.0,32.38793761052207,74.4,5481.0,0.05481,5402.86397357611,0.034016198758035895,0.01192655274644494,0.5312918126583099,4500.0,19
starv2_calibration_star100k_SafetyCarGoal1_v0_starD_thr055_lam10_star_v2_s1,SafetyCarGoal1-v0,star_v2,1,calibration_star100k,starD_thr055_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.55,1.0,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyCarGoal1-v0/star_v2/starv2_calibration_star100k_SafetyCarGoal1_v0_starD_thr055_lam10_star_v2_s1/checkpoint/final.torch,32.57362191791068,109.0,33.80798364522934,54.3,5764.0,0.05764,5343.852970837615,0.03512347843497991,0.01204656520858407,0.5312479197978973,4500.0,19
starv2_calibration_star100k_SafetyPointGoal1_v0_starA_thr045_lam05_star_v2_s0,SafetyPointGoal1-v0,star_v2,0,calibration_star100k,starA_thr045_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.45,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyPointGoal1-v0/star_v2/starv2_calibration_star100k_SafetyPointGoal1_v0_starA_thr045_lam05_star_v2_s0/checkpoint/final.torch,26.20097267599822,0.0,24.77918939049554,42.5,5982.0,0.05982,5308.151169538964,0.054065091907978056,0.009292604541406036,0.5310606002807617,4500.0,19
starv2_calibration_star100k_SafetyPointGoal1_v0_starA_thr045_lam05_star_v2_s1,SafetyPointGoal1-v0,star_v2,1,calibration_star100k,starA_thr045_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.45,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyPointGoal1-v0/star_v2/starv2_calibration_star100k_SafetyPointGoal1_v0_starA_thr045_lam05_star_v2_s1/checkpoint/final.torch,25.347368173031114,110.0,25.754148320333353,66.7,5507.0,0.05507,5432.8578403419815,0.04142897352576256,0.008338519698008895,0.5313318848609925,4500.0,19
starv2_calibration_star100k_SafetyPointGoal1_v0_starB_thr050_lam05_star_v2_s0,SafetyPointGoal1-v0,star_v2,0,calibration_star100k,starB_thr050_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyPointGoal1-v0/star_v2/starv2_calibration_star100k_SafetyPointGoal1_v0_starB_thr050_lam05_star_v2_s0/checkpoint/final.torch,24.6560721025371,79.0,25.664682708317933,59.2,8339.0,0.08339,5346.2668820437975,0.06053055413067341,0.007999689085409045,0.5312272131443023,4500.0,19
starv2_calibration_star100k_SafetyPointGoal1_v0_starB_thr050_lam05_star_v2_s1,SafetyPointGoal1-v0,star_v2,1,calibration_star100k,starB_thr050_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_star100k/SafetyPointGoal1-v0/star_v2/starv2_calibration_star100k_SafetyPointGoal1_v0_starB_thr050_lam05_star_v2_s1/checkpoint/final.torch,26.15955326298508,57.0,24.482327738976373,54.6,6418.0,0.06418,5296.901947984938,0.049171782843768594,0.008714852388948202,0.5308857679367065,4500.0,19
